"pathway","ER+","HER2+","TNBC","total"
"COLLAGEN",15.1254224666846,13.4991525543871,14.7105313093982,43.3351063304698
"MIF",4.75247925336799,6.25320107361544,0.949102231063425,11.9547825580468
"FN1",3.75611792827876,3.73694137422668,3.85809337942959,11.351152681935
"APP",3.48146256141156,3.59732613462376,3.56717761131562,10.6459663073509
"LAMININ",2.08373724527548,3.02196309493071,4.48598155785534,9.59168189806154
"MK",1.4618562018638,1.18240146753484,3.40159805147774,6.04585572087638
"CypA",1.39377211684285,3.45210706537927,1.09665612356478,5.9425353057869
"CD99",1.48835039599562,3.00057503916034,0.498931938351546,4.98785737350751
"MHC-II",0.671100631446935,2.13616761130024,0.967448799607863,3.77471704235504
"THBS",0.909340076649289,1.06969306046348,1.72955760946995,3.70859074658271
"SPP1",0.656158784244081,0.730627659308257,1.36325522921659,2.75004167276893
"CXCL",0.535309688441676,0.852014784659225,0.853440496095018,2.24076496919592
"MHC-I",0.000276204834899091,1.07674825226831,0.715031098453868,1.79205555555708
"ADGRE",0.286941805205732,0.914226423073308,0.506542522859081,1.70771075113812
"ANGPTL",0.263994845925914,0.409176017386765,1.01441682744633,1.68758769075901
"GALECTIN",0.0440057406612864,0.591457745641341,0.708969999281752,1.34443348558438
"VISFATIN",0.239174739156119,0.324563167528015,0.601185750931638,1.16492365761577
"PTN",0.283579460761735,0.0594030433113337,0.633724666807685,0.976707170880754
"CCL",0.0798916306562004,0.33336554359598,0.459425983095861,0.872683157348042
"CLEC",0.176169493299624,0.310629192413606,0.30184100852015,0.78863969423338
"ANNEXIN",0.0419419679484851,0.284971608972058,0.438258796381505,0.765172373302048
"NOTCH",0.316269430044773,0.239338399276654,0.182009371582309,0.737617200903736
"Prostaglandin",0.19753387820279,0.380466255884765,0.119242004977827,0.697242139065382
"ApoE",0.242331765744719,0.264524518068537,0.15593139069326,0.662787674506516
"IGFBP",0.172265174431865,0.258822777690165,0.198457590004343,0.629545542126373
"PECAM1",0.0952615417466126,0.225659254736189,0.238837858156005,0.559758654638807
"ADGRG",0.115349853611111,0.175207298551194,0.205215426128694,0.495772578291
"SELE",0.14632341631923,0.19500920266068,0.0764310820628835,0.417763701042794
"ESAM",0.161078550514276,0.181540578202376,0.0433624157835868,0.385981544500239
"PLAU",0.134166743028764,0.0940812585008775,0.156302503122399,0.38455050465204
"JAM",0.0672684142747009,0.136403194083193,0.177418677346856,0.38109028570475
"THY1",0.0968700831026616,0.146148758829339,0.117428240326856,0.360447082258857
"CD46",0.120864500672981,0.112053726746921,0.127400994026646,0.360319221446549
"ICAM",0.0815742651821745,0.215811330348431,0.0544546695898445,0.35184026512045
"ANGPT",0.0571440716720271,0.106860179086655,0.184631813291387,0.348636064050069
"VEGF",0.1025220425078,0.0736360531851341,0.169294438219797,0.345452533912732
"CLDN",0.223385939276222,0.0856133613303872,0.0286588900328911,0.337658190639501
"COMPLEMENT",0.0727268232440678,0.160342768341914,0.0714201412258844,0.304489732811867
"TENASCIN",0.082900436176733,0.100805441152288,0.12060059658745,0.30430647391647
"EGF",0.046733385272491,0.11677869220104,0.131424024556408,0.294936102029939
"Cholesterol",0.0480383453865803,0.0994224493853901,0.103526200343057,0.250986995115027
"TNF",0.120813879305334,0.10913582325026,0.00379480734062789,0.233744509896222
"GAP",0.0803807139695517,0.0349551118581085,0.116236881474953,0.231572707302613
"PERIOSTIN",0.0725628230443749,0.0730947606465112,0.0749704496742592,0.220628033365145
"GRN",0.00672839549800319,0.170533478462646,0.0164722177025905,0.19373409166324
"BAFF",0,0.0495114810938118,0.139189120365085,0.188700601458897
"FGF",0.0117731254459324,0.0151883085958653,0.130506497821228,0.157467931863025
"CALCR",0.0447581722717618,0.0637752917694023,0.0429984007591778,0.151531864800342
"MPZ",0.00750975335044488,0.0515322971219663,0.0872187990084456,0.146260849480857
"PECAM2",0,0.0373651019326265,0.108804192804432,0.146169294737058
"SELL",0.0204639880232567,0.0401237600775658,0.0824783612638131,0.143066109364636
"SEMA3",0.0445931721914549,0.0247163006334086,0.0524939131576275,0.121803385982491
"ADGRA",0.0216252151864524,0.0431602582643314,0.0427710651122944,0.107556538563078
"HSPG",0.0350760143557043,0.0390739250789605,0.0247125488402139,0.0988624882748787
"CD45",0.000251088760627299,0.0462992626404987,0.0442213199087432,0.0907716713098693
"GAS",0.0235555464842829,0.0572615106455544,0.00823387311358113,0.0890509302434184
"CDH5",0.0214433027320249,0.0271551159703145,0.037219830074798,0.0858182487771374
"PDGF",0.0183482166629878,0.017081690815122,0.0465405987868368,0.0819705062649465
"Netrin",0.0479935473671029,0.00767572239027163,0.0234628804273952,0.0791321501847698
"RA",0.0313087876581032,0.0251030397333151,0.0135840607063135,0.0699958880977317
"PARs",0.00111227726589966,0.0186745169854606,0.0492212173417387,0.069008011593099
"DESMOSOME",0.0205163424927875,0.0127850944878958,0.0312043645747986,0.0645058015554819
"EDN",0.00821720398186089,0.0381107240593137,0.0177820028621547,0.0641099309033292
"CEACAM",0.0139935006201662,0.0406660071062187,0.00803483936172059,0.0626943470881055
"EPHA",0.034171503377119,0.0117557113530236,0.0165093431697306,0.0624365578998732
"VCAM",0.00338049967035085,0.0298887704814937,0.028634500224319,0.0619037703761635
"CDH1",0.00946366096702933,0.00812699821145094,0.0394760774684287,0.0570667366469089
"TGFb",0.0143907241182605,0.0265995995895562,0.0152305072034025,0.0562208309112192
"GDF",0.051018501857729,0,0.00358849058934712,0.0546069924470761
"KLK",0.011100468966684,0.00619278324889313,0.0358884907985519,0.0531817430141291
"CDH",0.0163135906058663,0.0145721472171794,0.0219168815554828,0.0528026193785285
"CD40",0,0.0504797438881889,0,0.0504797438881889
"SEMA4",0.00951391722257254,0.0236207054210846,0.0141146416524183,0.0472492642960754
"SELPLG",0.00274336235700493,0.0176359688594865,0.0236720369139384,0.0440513681304298
"IL6",0,0.0152174168157978,0.0287529325956002,0.043970349411398
"EPHB",0.015684479387913,0.0145952304936449,0.013235454671129,0.0435151645526868
"LAIR1",0.00676885909374906,0.0291892720916138,0.00747741154701214,0.043435542732375
"Desmosterol",0.000131741267582025,0.0177817685167042,0.0230541270093695,0.0409676367936557
"IFN-II",0.00408857424667327,0.0342376253663935,0,0.0383261996130667
"CD34",0.000771764216088623,0.0157086892963653,0.0177155797502497,0.0341960332627036
"Testosterone",0.0120270566417665,0.00566886866162307,0.0140772123832412,0.0317731376866307
"PROS",0.00132529502104286,0.0199300509934953,0.00997194427137404,0.0312272902859122
"OSM",0.00441235845267727,0.0112351390617585,0.0149845100651452,0.030632007579581
"DHT",0.015007244754054,0.010165873515339,0.00441699235137711,0.0295901106207702
"CSF",0.00364863320755045,0.0177757556938946,0.00335577422349812,0.0247801631249431
"CD70",1.86821115233496e-05,0.0190515707326808,0.00328511605439931,0.0223553688986035
"IGF",0.00591765327256901,0.00373610036265346,0.0105608704530341,0.0202146240882566
"PTPRM",0.0054587812435651,0.00685374661237716,0.0076437133227269,0.0199562411786692
"CD86",0,0.0165812323420739,0.00171573495570134,0.0182969672977752
"AGRN",0.00551967308040421,0.00875034447395795,0.00326182486342643,0.0175318424177886
"APRIL",0,0.0167699545164647,0,0.0167699545164647
"CD6",0,0.0159900534792368,0,0.0159900534792368
"IL16",0,0.0130011903274792,0.00247537598788581,0.0154765663153651
"TRAIL",0,0.00703014381297527,0.00827625337291368,0.015306397185889
"TWEAK",0,0.00447537811305925,0.0101955759538839,0.0146709540669431
"SAA",0,0,0.0123897268189904,0.0123897268189904
"CSPG4",0.00253043549692938,0.0032712828644441,0.00603033240587211,0.0118320507672456
"PTPR",0,0.00145816713748527,0.00872895769903769,0.010187124836523
"CADM",0.00263357636451009,0.000735143156031186,0.00665052968280275,0.010019249203344
"PSAP",0,0,0.00891335299024837,0.00891335299024837
"CD23",0,0.00606667067802832,0.00263194464678846,0.00869861532481678
"CHEMERIN",0,0.00764471138872613,0,0.00764471138872613
"SIRP",0,0.005578521287325,0,0.005578521287325
"LIFR",0.00333356445556096,0,0.00182073665942044,0.0051543011149814
"WNT",7.66658003044785e-06,0.00202180396802867,0.00300118593517642,0.00503065648323554
"BAG",0,0.00474063234577143,0,0.00474063234577143
"LCK",0,0.00470616573899105,0,0.00470616573899105
"CNTN",0.00463943324923953,0,0,0.00463943324923953
"SEMA6",0.0012950268708909,0.00172196956885421,0.00156003031599335,0.00457702675573845
"ncWNT",0,0.00044422950885531,0.00412507147705486,0.00456930098591017
"KIT",0.0042248343215123,0.000191832376055879,9.29417281395507e-06,0.00442596087038213
"CX3C",0.00422800735517236,0,0,0.00422800735517236
"OCLN",0.00159032095789457,0.00122622951809742,0.000705316468674488,0.00352186694466647
"NCAM",0,0,0.00335148952634116,0.00335148952634116
"CysLTs",0.001850359288888,0.00118464741940995,0.000245029613564743,0.00328003632186269
"CD39",0,0.00156497388106714,0.0015952846630256,0.00316025854409274
"BMP",0.000246787150888531,0.00217421405355578,0.000103330253699146,0.00252433145814345
"CD96",0.000540200397705757,0.00107663332911593,0.000367596027617096,0.00198442975443879
"IL1",0,0,0.00183503304514058,0.00183503304514058
"ACTIVIN",0,0.000903940675210152,0.000821659055431583,0.00172559973064173
"SEMA5",0.000508782473676022,0.000386738540043847,0.000772107022865871,0.00166762803658574
"PVR",0.000308049841189672,0.000734948863759898,0.000513958280139094,0.00155695698508866
"CSF3",0,0.00134607710524447,0,0.00134607710524447
"CD80",0,0.00132053271386119,2.08375612735078e-05,0.0013413702751347
"IL10",0,0.000411878428804547,0.000929340008250756,0.0013412184370553
"HGF",0,0,0.00129040321510945,0.00129040321510945
"BTLA",0,0.000766087017838841,0.000488580619918249,0.00125466763775709
"NEGR",0.000580714737831079,0.000436156175460739,5.23963578655442e-05,0.00106926727115736
"SLIT",0,0.000154784452763468,0.000901621605511516,0.00105640605827498
"ADGRL",0,0.000767944826467867,0.00026681038012187,0.00103475520658974
"DHEAS",0.000173282186212215,0.000812553934717349,4.45375513909878e-05,0.00103037367232055
"SN",0,0.000253604544962762,0.000693655690167541,0.000947260235130303
"Adenosine",0,0.000542250585909742,0.000207498831061204,0.000749749416970947
"ICOS",0.000703180382014832,0,0,0.000703180382014832
"12oxoLTB4",0,0,0.000342698207557649,0.000342698207557649
"SLITRK",0,0,0.000336701827095576,0.000336701827095576
"NT",0,0,0.000325071079669011,0.000325071079669011
"UNC5",0,0.00018882239254965,7.68230173327597e-05,0.000265645409882409
"PDL2",0,0.000252600125105455,0,0.000252600125105455
"APELIN",0,0,0.000233321209350571,0.000233321209350571
"NGF",0,0,0.000183804256153045,0.000183804256153045
"VEGI",0,0.000161288785501556,0,0.000161288785501556
"CD137",0,0.000114661660099482,0,0.000114661660099482
"DHEA",0,4.16466048804e-06,0.000109418799300948,0.000113583459788988
"NRG",0,3.34190614814736e-05,0,3.34190614814736e-05
"FLRT",0,1.38375388855085e-05,1.09348161678506e-05,2.47723550533592e-05
"PCDH",0,0,2.04701078409732e-05,2.04701078409732e-05
"RBP4",0,1.68518138790161e-05,0,1.68518138790161e-05
